,STOCK_SYMBOL,LOT_SIZE,INSERT_TS
165,LALPATHLAB,125,2021-12-24 12:25:37.953379+05:30
166,LT,575,2021-12-24 12:25:37.953379+05:30
167,LTI,150,2021-12-24 12:25:37.953379+05:30
168,MARICO,1000,2021-12-24 12:25:37.953379+05:30
169,MINDTREE,200,2021-12-24 12:25:37.953379+05:30
170,NAUKRI,125,2021-12-24 12:25:37.953379+05:30
171,NAVINFLUOR,225,2021-12-24 12:25:37.953379+05:30
172,NMDC,6700,2021-12-24 12:25:37.953379+05:30
173,PVR,407,2021-12-24 12:25:37.953379+05:30
174,RELIANCE,250,2021-12-24 12:25:37.953379+05:30
175,SHREECEM,25,2021-12-24 12:25:37.953379+05:30
176,SRTRANSFIN,400,2021-12-24 12:25:37.953379+05:30
177,TATAMOTORS,2850,2021-12-24 12:25:37.953379+05:30
178,TECHM,600,2021-12-24 12:25:37.953379+05:30
179,TORNTPHARM,250,2021-12-24 12:25:37.953379+05:30
180,UBL,350,2021-12-24 12:25:37.953379+05:30
181,UPL,1300,2021-12-24 12:25:37.953379+05:30
182,BIOCON,2300,2021-12-24 12:25:37.953379+05:30
183,ICICIGI,425,2021-12-24 12:25:37.953379+05:30
184,IPCALAB,225,2021-12-24 12:25:37.953379+05:30
185,MOTHERSUMI,3500,2021-12-24 12:25:37.953379+05:30
186,KOTAKBANK,400,2021-12-24 12:25:37.953379+05:30
187,TITAN,375,2021-12-24 12:25:37.953379+05:30
188,VOLTAS,500,2021-12-24 12:25:37.953379+05:30
189,APLLTD,550,2021-12-24 12:25:37.953379+05:30
190,MFSL,650,2021-12-24 12:25:37.953379+05:30
