,STOCK_SYMBOL,LTP,INSERT_TS
131,BAJAJ-AUTO,3276.93,2022-01-03 20:31:28.528471+05:30
132,WIPRO,720.12,2022-01-03 20:31:28.528471+05:30
133,ZEEL,322.82,2022-01-03 20:31:28.528471+05:30
134,ADANIPORTS,734.7,2022-01-03 20:31:28.528471+05:30
135,APOLLOTYRE,221.08,2022-01-03 20:31:28.528471+05:30
136,BHARATFORG,709.48,2022-01-03 20:31:28.528471+05:30
137,BHARTIARTL,688.78,2022-01-03 20:31:28.528471+05:30
138,BHEL,60.11,2022-01-03 20:31:28.528471+05:30
139,CANFINHOME,570.65,2022-01-03 20:31:28.528471+05:30
140,CHOLAFIN,534.18,2022-01-03 20:31:28.528471+05:30
141,CONCOR,618.61,2022-01-03 20:31:28.528471+05:30
142,CROMPTON,441.56,2022-01-03 20:31:28.528471+05:30
143,DEEPAKNTR,2529.64,2022-01-03 20:31:28.528471+05:30
144,DELTACORP,258.97,2022-01-03 20:31:28.528471+05:30
145,EXIDEIND,170.18,2022-01-03 20:31:28.528471+05:30
146,GODREJPROP,1900.53,2022-01-03 20:31:28.528471+05:30
147,GRANULES,336.49,2022-01-03 20:31:28.528471+05:30
148,HAVELLS,1407.88,2022-01-03 20:31:28.528471+05:30
149,BPCL,385.86,2022-01-03 20:31:28.528471+05:30
150,HEROMOTOCO,2478.07,2022-01-03 20:31:28.528471+05:30
151,BRITANNIA,3610.56,2022-01-03 20:31:28.528471+05:30
152,ICICIPRULI,562.05,2022-01-03 20:31:28.528471+05:30
153,IDFCFIRSTB,49.39,2022-01-03 20:31:28.528471+05:30
154,IEX,256.35,2022-01-03 20:31:28.528471+05:30
155,JSWSTEEL,662.73,2022-01-03 20:31:28.528471+05:30
156,JUBLFOOD,3653.67,2022-01-03 20:31:28.528471+05:30
157,LICHSGFIN,377.46,2022-01-03 20:31:28.528471+05:30
158,LTI,7471.38,2022-01-03 20:31:28.528471+05:30
159,M&M,832.76,2022-01-03 20:31:28.528471+05:30
160,METROPOLIS,3447.32,2022-01-03 20:31:28.528471+05:30
161,MINDTREE,4836.96,2022-01-03 20:31:28.528471+05:30
162,MOTHERSUMI,224.23,2022-01-03 20:31:28.528471+05:30
163,MPHASIS,3447.97,2022-01-03 20:31:28.528471+05:30
164,MRF,73564.81,2022-01-03 20:31:28.528471+05:30
165,NATIONALUM,102.04,2022-01-03 20:31:28.528471+05:30
166,NAUKRI,5652.11,2022-01-03 20:31:28.528471+05:30
167,NESTLEIND,19719.14,2022-01-03 20:31:28.528471+05:30
168,DALBHARAT,1877.86,2022-01-03 20:31:28.528471+05:30
169,OBEROIRLTY,892.31,2022-01-03 20:31:28.528471+05:30
170,ONGC,142.87,2022-01-03 20:31:28.528471+05:30
171,PAGEIND,40769.1,2022-01-03 20:31:28.528471+05:30
172,POLYCAB,2469.84,2022-01-03 20:31:28.528471+05:30
173,POWERGRID,205.5,2022-01-03 20:31:28.528471+05:30
174,PVR,1308.08,2022-01-03 20:31:28.528471+05:30
175,SAIL,108.66,2022-01-03 20:31:28.528471+05:30
176,SBIN,467.17,2022-01-03 20:31:28.528471+05:30
177,SYNGENE,613.31,2022-01-03 20:31:28.528471+05:30
178,TATACONSUM,746.26,2022-01-03 20:31:28.528471+05:30
179,TATAMOTORS,496.62,2022-01-03 20:31:28.528471+05:30
180,TITAN,2519.23,2022-01-03 20:31:28.528471+05:30
181,TRENT,1054.57,2022-01-03 20:31:28.528471+05:30
182,ICICIBANK,756.86,2022-01-03 20:31:28.528471+05:30
183,NAVINFLUOR,4231.03,2022-01-03 20:31:28.528471+05:30
184,PEL,2689.95,2022-01-03 20:31:28.528471+05:30
185,HDFCAMC,2465.19,2022-01-03 20:31:28.528471+05:30
186,MFSL,1006.62,2022-01-03 20:31:28.528471+05:30
187,SRF,2424.56,2022-01-03 20:31:28.528471+05:30
188,ABCAPITAL,127.86,2022-01-03 20:31:28.528471+05:30
189,BALRAMCHIN,371.16,2022-01-03 20:31:28.528471+05:30
190,GNFC,445.62,2022-01-03 20:31:28.528471+05:30
191,HINDCOPPER,125.53,2022-01-03 20:31:28.528471+05:30
192,HONAUT,42287.85,2022-01-03 20:31:28.528471+05:30
193,IDFC,63.8,2022-01-03 20:31:28.528471+05:30
194,NBCC,46.79,2022-01-03 20:31:28.528471+05:30
195,RAIN,236.63,2022-01-03 20:31:28.528471+05:30
196,TATACOMM,1453.8,2022-01-03 20:31:28.528471+05:30
0,NIFTY,17625.7,2022-01-03 20:31:28.528471+05:30
1,BANKNIFTY,36421.9,2022-01-03 20:31:28.528471+05:30
